name,address,city,state,category,yelp_url
Coopersburg Diner,336 N 3rd Street,Coopersburg,PA,Diner,http://www.yelp.com/biz/coopersburg-diner-coopersburg
Thaiphoon,543 Emerson Street,Palo Alto,CA,Thai,http://www.yelp.com/biz/thaiphoon-palo-alto
Sam's Chowder House,185 University Avenue,Palo Alto,CA,Seafood,http://www.yelp.com/biz/sams-chowder-house-palo-alto
Blondie's,2340 Telegraph Avenue,Berkeley,CA,Pizza,http://www.yelp.com/biz/blondies-pizza-berkeley
Tacos Los Gemelos,1630 El Camino Real,Redwood City,CA,Mexican,http://www.yelp.com/biz/tacos-los-gemelos-redwood-city
Cafe 220,220 University Avenue,Palo Alto,CA,Mediterranean,http://www.yelp.com/biz/cafe-220-palo-alto
Copperhead Grille,5737 Route 378,Bethlehem,PA,American,http://www.yelp.com/biz/copperhead-grille-bethlehem
NOLA Restaurant and Bar,535 Ramona Street,Palo Alto,CA,Cajun,http://www.yelp.com/biz/nola-restaurant-and-bar-palo-alto
Stacks,600 Santa Cruz Avenue,Menlo Park,CA,Diner,http://www.yelp.com/biz/stacks-menlo-park
Palo Alto Creamery,566 Emerson Street,Palo Alto,CA,Diner,http://www.yelp.com/biz/palo-alto-creamery-palo-alto-2
